participant_id,condition,pretest,posttest,delayed_transfer,project_quality,epistemic_agency_1to5,cognitive_offloading_1to5,evidence_integrity_pct,teacher_intervention_minutes,synthetic_placeholder,random_seed
S040,PBL-only,69.69,75.27,66.45,72.19,3.8,2.84,57.21,15.4,True,20260813
S041,PBL-only,61.7,72.14,72.07,72.84,3.28,1.75,77.66,13.76,True,20260813
S042,PBL-only,71.69,78.35,80.03,72.53,4.34,1.87,76.22,15.29,True,20260813
S043,PBL-only,61.26,66.49,66.09,68.86,2.98,2.6,72.29,16.43,True,20260813
S044,PBL-only,77.77,80.37,74.5,72.11,2.9,2.64,36.55,20.05,True,20260813
S045,PBL-only,67.45,76.39,67.89,72.91,3.94,2.68,71.48,17.14,True,20260813
S046,PBL-only,71.75,77.11,76.52,75.05,3.94,2.33,79.03,16.19,True,20260813
S047,PBL-only,69.3,69.79,69.15,66.31,3.84,1.48,57.07,21.8,True,20260813
S048,PBL-only,61.41,69.97,66.15,76.38,3.93,2.92,63.07,15.8,True,20260813
S049,PBL-only,65.48,68.34,74.37,73.43,3.29,2.11,60.37,10.53,True,20260813
S050,PBL-only,57.28,63.66,55.7,63.35,4.38,1.95,59.56,18.1,True,20260813
S051,PBL-only,66.62,74.47,68.16,75.98,3.75,1.85,60.54,13.72,True,20260813
S052,PBL-only,75.32,82.62,76.78,70.61,3.83,1.84,63.5,15.09,True,20260813
S053,PBL-only,66.53,71.92,65.75,57.63,3.27,2.85,73.6,21.27,True,20260813
S054,PBL-only,83.09,90.79,73.57,75.16,3.01,2.65,74.06,15.85,True,20260813
S055,PBL-only,66.67,73.41,67.8,70.64,3.97,2.66,59.41,16.26,True,20260813
S056,PBL-only,74.71,80.67,77.05,80.2,4.55,3.09,62.74,18.88,True,20260813
S057,PBL-only,66.83,71.85,64.78,81.01,3.78,2.25,59.59,17.51,True,20260813
S058,PBL-only,65.77,66.01,64.54,56.62,3.23,2.01,58.3,15.89,True,20260813
S059,PBL-only,64.16,67.85,52.53,65.89,2.98,2.5,68.45,17.82,True,20260813
S060,PBL-only,60.7,67.07,63.91,67.57,3.78,2.46,59.01,14.69,True,20260813
S061,Unrestricted LLM,75.38,80.8,68.3,94.66,4.33,3.04,37.13,12.23,True,20260813
S062,Unrestricted LLM,56.02,64.63,60.77,81.21,3.65,3.71,54.05,12.66,True,20260813
S063,Unrestricted LLM,72.69,79.57,69.97,75.51,3.48,3.2,47.81,13.79,True,20260813
S064,Unrestricted LLM,59.78,68.73,58.01,79.46,2.78,3.33,34.79,13.82,True,20260813
S065,Unrestricted LLM,68.29,75.59,68.72,87.12,3.56,3.54,62.77,11.84,True,20260813
S066,Unrestricted LLM,71.96,80.75,72.74,70.21,2.69,2.55,46.27,12.33,True,20260813
S067,Unrestricted LLM,53.64,57.53,54.6,65.5,2.77,3.13,47.11,10.09,True,20260813
S068,Unrestricted LLM,61.92,62.77,59.73,79.75,3.09,3.45,66.37,11.12,True,20260813
S069,Unrestricted LLM,69.97,77.1,72.51,91.21,3.33,3.92,53.74,4.46,True,20260813
S070,Unrestricted LLM,66.66,71.68,67.04,71.08,2.97,4.23,51.85,10.97,True,20260813
S071,Unrestricted LLM,52.12,57.05,46.67,76.79,4.41,3.75,67.49,10.98,True,20260813
S072,Unrestricted LLM,56.69,57.45,61.61,70.3,2.85,2.91,65.47,12.48,True,20260813
S073,Unrestricted LLM,71.16,75.38,71.92,79.38,3.29,3.12,48.73,8.2,True,20260813
S074,Unrestricted LLM,63.7,71.57,64.01,78.88,3.35,3.5,49.01,9.19,True,20260813
S075,Unrestricted LLM,63.79,65.98,66.38,86.41,3.44,3.7,70.04,8.51,True,20260813
S076,Unrestricted LLM,70.7,83.21,63.38,79.39,3.41,3.42,42.1,14.03,True,20260813
S077,Unrestricted LLM,64.71,69.44,64.86,69.21,3.4,3.75,55.02,10.7,True,20260813
S078,Unrestricted LLM,75.57,80.0,78.1,83.16,3.68,2.58,52.02,14.89,True,20260813
S079,Unrestricted LLM,68.78,70.6,71.65,76.57,2.96,3.08,45.54,10.49,True,20260813
S080,Unrestricted LLM,74.94,83.94,77.0,77.73,3.66,3.65,58.63,10.97,True,20260813
S081,Unrestricted LLM,70.84,79.81,75.03,79.65,2.94,4.16,45.56,12.3,True,20260813
S082,Unrestricted LLM,65.72,79.86,67.28,82.42,2.63,2.54,58.01,8.37,True,20260813
S083,Unrestricted LLM,59.65,65.95,65.15,69.09,2.05,2.85,55.07,9.64,True,20260813
S084,Unrestricted LLM,73.81,76.8,69.08,85.14,3.53,2.93,59.01,13.28,True,20260813
S085,Unrestricted LLM,57.34,63.47,54.95,71.2,2.99,2.94,62.49,10.74,True,20260813
S086,Unrestricted LLM,75.15,89.08,77.41,74.08,3.33,3.19,60.64,11.77,True,20260813
S087,Unrestricted LLM,50.08,51.64,45.77,70.67,3.82,4.07,53.43,8.97,True,20260813
S088,Unrestricted LLM,64.52,64.54,64.03,80.53,3.46,3.56,53.45,13.04,True,20260813
S089,Unrestricted LLM,58.12,62.97,59.48,72.92,3.24,3.06,57.58,10.84,True,20260813
S090,Unrestricted LLM,69.53,74.2,68.6,78.86,3.18,3.35,55.88,14.0,True,20260813
S091,Unrestricted LLM,69.88,71.35,77.12,75.22,3.55,3.56,72.18,12.65,True,20260813
S092,Unrestricted LLM,55.79,68.45,53.58,73.49,2.68,3.5,67.33,12.16,True,20260813
S093,Unrestricted LLM,65.2,73.25,62.46,78.25,2.54,3.5,69.23,10.88,True,20260813
S094,Unrestricted LLM,56.39,67.91,61.5,72.85,3.76,3.01,73.83,8.58,True,20260813
S095,Unrestricted LLM,66.14,68.14,62.36,76.58,2.65,3.89,64.8,9.84,True,20260813
S096,Unrestricted LLM,61.11,66.6,63.19,74.49,2.97,3.69,53.21,8.42,True,20260813
S097,Unrestricted LLM,71.97,77.92,75.01,87.75,3.02,3.64,65.03,11.45,True,20260813
S098,Unrestricted LLM,60.7,70.63,68.81,82.43,3.54,2.83,57.97,15.58,True,20260813
S099,Unrestricted LLM,63.56,72.25,62.03,78.67,3.24,4.27,62.36,14.09,True,20260813
S100,Unrestricted LLM,72.75,82.53,70.7,85.45,3.55,3.34,65.87,6.63,True,20260813
S101,Unrestricted LLM,71.87,82.38,71.81,75.3,2.99,3.77,42.31,3.74,True,20260813
S102,Unrestricted LLM,77.8,90.35,77.76,85.62,3.54,2.72,46.34,8.51,True,20260813
S103,Unrestricted LLM,49.81,59.52,53.04,70.39,2.72,3.51,54.49,13.19,True,20260813
S104,Unrestricted LLM,77.98,84.51,71.66,85.11,3.45,3.41,50.58,6.36,True,20260813
S105,Unrestricted LLM,65.98,77.63,65.66,69.68,3.76,3.68,39.7,9.99,True,20260813
S106,Unrestricted LLM,69.32,86.81,65.35,80.1,3.33,2.52,69.18,8.15,True,20260813
S107,Unrestricted LLM,68.58,71.22,69.93,72.37,2.92,3.48,42.52,14.4,True,20260813
S108,Unrestricted LLM,57.48,62.09,49.35,74.3,2.85,3.07,41.67,11.62,True,20260813
S109,Unrestricted LLM,62.47,62.64,68.96,70.0,3.4,3.95,45.08,13.31,True,20260813
S110,Unrestricted LLM,59.14,72.01,58.98,92.01,3.68,2.9,57.11,9.93,True,20260813
S111,Unrestricted LLM,68.28,69.55,64.91,86.46,2.9,3.43,66.89,13.6,True,20260813
S112,Unrestricted LLM,75.67,84.16,80.33,83.06,3.13,2.86,67.22,10.28,True,20260813
S113,Unrestricted LLM,79.76,83.38,77.88,81.52,3.1,2.3,50.25,9.9,True,20260813
S114,Unrestricted LLM,65.47,67.27,62.52,69.75,2.48,3.9,49.47,12.62,True,20260813
S115,Unrestricted LLM,73.3,80.61,69.87,83.25,3.55,3.93,43.72,14.43,True,20260813
S116,Unrestricted LLM,50.04,57.91,49.18,60.88,3.15,3.39,59.93,11.82,True,20260813
S117,Unrestricted LLM,65.85,76.67,65.65,83.64,2.95,2.37,57.25,9.11,True,20260813
S118,Unrestricted LLM,69.9,74.53,69.17,72.69,3.95,3.54,63.82,11.47,True,20260813
S119,Unrestricted LLM,55.72,67.23,52.38,65.94,3.66,4.24,38.45,13.96,True,20260813
S120,Unrestricted LLM,58.58,63.69,60.11,85.52,3.1,3.47,65.66,10.99,True,20260813
S121,Role-based AI,61.74,72.11,79.8,65.47,3.63,2.69,72.56,10.16,True,20260813
S122,Role-based AI,56.18,68.69,58.46,73.58,4.24,2.97,60.92,10.86,True,20260813
S123,Role-based AI,78.6,90.3,80.92,89.01,3.27,3.08,76.19,13.18,True,20260813
S124,Role-based AI,84.13,100.0,100.0,93.88,3.6,3.02,68.58,12.8,True,20260813
S125,Role-based AI,77.24,80.77,76.73,69.03,4.07,2.6,63.38,12.03,True,20260813
S126,Role-based AI,76.11,87.39,76.23,94.38,3.48,2.74,56.24,9.52,True,20260813
S127,Role-based AI,65.68,70.68,68.14,74.39,3.16,3.14,67.12,12.35,True,20260813
S128,Role-based AI,64.17,74.05,60.98,74.0,3.82,3.32,65.8,13.12,True,20260813
S129,Role-based AI,85.09,95.94,87.51,92.47,2.95,2.39,53.4,15.64,True,20260813
S130,Role-based AI,72.03,87.05,75.24,72.57,4.54,3.6,63.8,12.11,True,20260813
S131,Role-based AI,90.27,97.74,91.58,87.88,4.03,2.52,65.82,12.22,True,20260813
S132,Role-based AI,68.54,79.4,66.67,81.67,3.85,3.03,56.01,11.97,True,20260813
S133,Role-based AI,67.1,69.69,67.68,79.12,3.7,3.24,76.18,12.41,True,20260813
S134,Role-based AI,39.25,45.44,43.95,62.06,3.44,3.5,58.85,13.61,True,20260813
S135,Role-based AI,65.3,75.49,66.45,80.05,4.94,2.38,64.17,9.0,True,20260813
S136,Role-based AI,62.84,64.17,62.89,72.6,2.99,3.51,53.75,10.83,True,20260813
S137,Role-based AI,87.9,97.35,88.74,99.03,4.2,2.21,64.94,11.15,True,20260813
S138,Role-based AI,71.4,83.85,82.05,83.21,4.49,3.02,57.35,10.75,True,20260813
S139,Role-based AI,77.59,84.35,89.51,82.97,3.47,2.42,56.12,13.34,True,20260813
S140,Role-based AI,73.8,85.97,81.55,75.88,3.86,3.03,64.86,15.23,True,20260813
S141,Role-based AI,72.83,77.97,75.32,86.45,3.65,3.05,68.0,13.56,True,20260813
S142,Role-based AI,59.8,67.6,61.2,83.46,3.13,3.24,62.96,8.6,True,20260813
S143,Role-based AI,73.75,78.27,77.8,78.12,3.61,3.29,49.37,13.84,True,20260813
S144,Role-based AI,63.2,64.14,61.32,80.66,3.72,2.63,60.52,14.64,True,20260813
S145,Role-based AI,79.57,83.86,92.25,83.79,3.48,2.52,65.19,14.47,True,20260813
S146,Role-based AI,55.58,66.92,64.16,73.13,3.76,2.53,63.91,10.81,True,20260813
S147,Role-based AI,70.58,82.82,74.68,80.66,3.77,2.75,58.98,5.96,True,20260813
S148,Role-based AI,80.95,96.95,88.83,89.88,4.08,2.33,57.6,13.51,True,20260813
S149,Role-based AI,75.0,88.38,65.98,89.32,3.19,2.32,53.87,13.64,True,20260813
S150,Role-based AI,62.43,73.41,68.68,86.81,4.76,3.25,79.25,8.53,True,20260813
S151,Role-based AI,70.7,82.44,75.06,77.7,3.25,2.55,60.17,14.18,True,20260813
S152,Role-based AI,60.29,68.9,64.63,69.11,3.44,2.7,60.21,10.52,True,20260813
S153,Role-based AI,72.77,79.73,81.16,90.67,3.59,2.25,80.69,11.01,True,20260813
S154,Role-based AI,47.35,56.01,51.27,68.53,3.29,3.57,52.95,11.05,True,20260813
S155,Role-based AI,69.44,83.43,68.87,80.62,3.57,2.16,62.76,16.34,True,20260813
S156,Role-based AI,75.15,83.63,76.43,76.37,3.64,2.85,57.55,13.71,True,20260813
S157,Role-based AI,79.23,85.4,82.31,79.98,4.01,2.41,72.16,13.67,True,20260813
S158,Role-based AI,61.52,68.78,70.87,71.07,2.85,1.98,46.7,13.34,True,20260813
S159,Role-based AI,63.02,78.77,62.07,74.84,2.46,4.06,68.77,10.69,True,20260813
S160,Role-based AI,74.05,83.46,75.55,82.24,3.41,1.44,61.8,14.12,True,20260813
S161,Role-based AI,64.6,80.57,62.54,81.09,5.0,2.72,62.52,10.76,True,20260813
S162,Role-based AI,63.25,76.97,66.28,82.6,3.64,2.98,63.22,12.81,True,20260813
S163,Role-based AI,58.8,61.85,64.53,71.84,2.77,3.37,52.83,12.01,True,20260813
S164,Role-based AI,61.07,68.41,59.09,71.87,2.95,2.69,69.84,12.58,True,20260813
S165,Role-based AI,69.96,80.07,67.15,79.64,2.63,2.77,62.75,15.56,True,20260813
S166,Role-based AI,69.51,79.57,71.62,80.6,4.1,2.24,75.13,7.0,True,20260813
S167,Role-based AI,71.29,77.29,61.42,82.98,3.79,3.54,72.32,9.67,True,20260813
S168,Role-based AI,69.86,72.59,78.17,77.87,3.52,2.85,57.41,11.38,True,20260813
S169,Role-based AI,55.13,60.26,57.17,67.92,4.04,3.27,54.97,11.77,True,20260813
S170,Role-based AI,73.5,83.1,77.97,80.84,4.56,3.06,69.18,9.17,True,20260813
S171,Role-based AI,72.06,80.83,72.4,79.36,3.35,3.38,70.39,9.8,True,20260813
S172,Role-based AI,60.77,65.93,63.62,79.2,3.71,3.71,68.91,11.38,True,20260813
S173,Role-based AI,61.01,59.07,64.53,82.68,3.94,3.13,73.01,11.92,True,20260813
S174,Role-based AI,67.48,90.44,69.75,68.88,4.04,2.99,59.59,13.78,True,20260813
S175,Role-based AI,67.52,76.49,69.25,86.55,2.56,2.82,61.61,9.28,True,20260813
S176,Role-based AI,72.09,81.71,69.21,90.26,3.77,2.81,80.79,9.55,True,20260813
S177,Role-based AI,61.5,70.86,62.87,84.57,4.34,3.17,66.93,12.22,True,20260813
S178,Role-based AI,70.53,81.2,76.62,86.12,4.0,3.15,79.41,14.82,True,20260813
S179,Role-based AI,71.91,78.76,63.38,75.0,2.31,3.43,50.9,16.2,True,20260813
S180,Role-based AI,44.74,52.03,46.65,70.26,4.17,3.16,54.91,14.98,True,20260813
S181,OpenPBL full,65.68,80.07,75.7,79.67,4.44,2.0,81.72,4.47,True,20260813
S182,OpenPBL full,72.14,83.23,75.2,75.27,3.41,2.81,70.55,8.25,True,20260813
S183,OpenPBL full,65.92,76.11,75.1,82.05,4.01,2.75,86.53,10.16,True,20260813
S184,OpenPBL full,68.48,81.84,75.03,74.43,3.48,1.09,74.57,12.61,True,20260813
S185,OpenPBL full,82.68,94.12,88.05,85.45,4.22,2.2,89.58,8.16,True,20260813
S186,OpenPBL full,65.0,72.94,75.09,74.91,4.88,2.64,94.5,11.48,True,20260813
S187,OpenPBL full,55.12,71.03,64.46,76.18,4.15,2.69,82.55,7.67,True,20260813
S188,OpenPBL full,67.74,80.93,81.72,68.42,4.36,2.54,75.82,9.06,True,20260813
S189,OpenPBL full,62.22,78.85,74.34,66.0,3.36,2.47,85.97,11.05,True,20260813
S190,OpenPBL full,78.0,87.04,86.53,87.89,3.56,1.53,85.44,10.76,True,20260813
S191,OpenPBL full,70.22,86.91,78.45,84.48,3.35,1.84,99.61,14.32,True,20260813
S192,OpenPBL full,75.33,94.29,88.4,74.47,3.45,2.31,80.18,11.44,True,20260813
S193,OpenPBL full,65.76,76.71,70.56,80.23,3.84,3.04,79.72,9.15,True,20260813
S194,OpenPBL full,68.49,86.19,82.37,86.27,4.12,1.89,81.27,8.49,True,20260813
S195,OpenPBL full,64.87,77.4,70.76,84.27,4.01,3.06,84.72,5.34,True,20260813
S196,OpenPBL full,64.7,77.66,70.11,91.38,4.07,2.44,80.39,4.79,True,20260813
S197,OpenPBL full,66.98,73.61,83.05,84.28,4.38,2.29,85.31,10.52,True,20260813
S198,OpenPBL full,58.95,72.56,70.05,85.56,3.56,2.2,92.52,14.79,True,20260813
S199,OpenPBL full,76.58,83.33,85.09,86.19,4.3,2.3,73.69,7.31,True,20260813
S200,OpenPBL full,63.39,71.73,74.86,86.92,3.88,2.62,86.33,9.62,True,20260813
S201,OpenPBL full,67.93,85.28,78.82,74.68,4.12,2.04,87.08,7.8,True,20260813
S202,OpenPBL full,54.68,64.9,61.16,80.32,3.68,2.91,96.86,8.55,True,20260813
S203,OpenPBL full,64.7,72.47,66.96,78.04,4.08,2.26,60.21,11.14,True,20260813
S204,OpenPBL full,68.81,89.69,72.11,87.13,4.38,1.83,87.04,8.99,True,20260813
S205,OpenPBL full,68.81,73.35,74.95,88.29,3.7,2.65,95.66,10.58,True,20260813
S206,OpenPBL full,60.73,73.49,74.06,67.27,3.82,3.07,77.74,8.68,True,20260813
S207,OpenPBL full,80.24,88.07,95.08,96.9,3.76,2.42,82.62,7.45,True,20260813
S208,OpenPBL full,83.5,95.05,93.73,85.13,4.31,2.14,86.63,11.54,True,20260813
S209,OpenPBL full,48.04,67.23,59.46,76.44,3.31,2.26,78.71,6.61,True,20260813
S210,OpenPBL full,79.66,91.66,86.42,88.96,3.85,2.52,80.78,5.81,True,20260813
S211,OpenPBL full,70.43,75.22,81.91,80.97,3.92,1.29,66.55,9.28,True,20260813
S212,OpenPBL full,69.51,80.74,78.01,69.56,4.29,1.81,77.56,6.77,True,20260813
S213,OpenPBL full,75.07,88.66,90.59,92.63,4.01,1.99,72.39,9.58,True,20260813
S214,OpenPBL full,58.84,76.19,71.12,74.7,3.44,3.01,97.8,7.64,True,20260813
S215,OpenPBL full,62.56,73.37,69.56,85.24,4.38,2.14,89.43,6.53,True,20260813
S216,OpenPBL full,69.81,81.54,76.8,82.19,4.59,1.75,96.78,9.34,True,20260813
S217,OpenPBL full,75.44,88.17,92.61,88.15,4.43,1.78,80.76,10.02,True,20260813
S218,OpenPBL full,71.93,79.85,91.21,91.67,4.84,2.86,79.2,6.67,True,20260813
S219,OpenPBL full,54.94,69.12,56.58,80.07,4.07,2.27,94.19,10.12,True,20260813
S220,OpenPBL full,70.41,78.26,73.79,79.96,4.24,1.6,68.72,9.79,True,20260813
S221,OpenPBL full,52.59,62.41,64.27,70.12,3.43,1.63,85.76,9.71,True,20260813
S222,OpenPBL full,47.52,51.16,56.98,68.0,2.88,3.09,92.44,9.62,True,20260813
S223,OpenPBL full,65.83,75.91,70.41,71.4,3.8,2.86,86.91,7.74,True,20260813
S224,OpenPBL full,77.78,91.26,87.27,91.31,4.39,2.33,95.23,11.64,True,20260813
S225,OpenPBL full,78.35,90.57,88.03,85.11,4.23,2.91,82.13,12.36,True,20260813
S226,OpenPBL full,68.74,76.39,76.08,82.67,4.51,1.82,79.07,11.2,True,20260813
S227,OpenPBL full,60.59,70.35,72.01,73.15,4.11,2.54,74.59,8.08,True,20260813
S228,OpenPBL full,51.93,62.04,64.46,84.34,4.11,2.58,86.18,4.92,True,20260813
S229,OpenPBL full,83.83,87.91,89.11,90.13,4.21,1.8,92.91,8.61,True,20260813
S230,OpenPBL full,74.67,86.19,87.47,88.15,4.0,1.59,83.65,7.97,True,20260813
S231,OpenPBL full,56.64,64.95,62.52,74.2,4.1,2.3,82.06,7.87,True,20260813
S232,OpenPBL full,62.48,68.85,72.2,84.53,4.18,1.87,82.08,9.62,True,20260813
S233,OpenPBL full,67.63,78.58,77.11,84.66,4.39,2.04,86.78,9.89,True,20260813
S234,OpenPBL full,81.74,91.83,83.4,80.83,3.72,2.2,85.29,10.69,True,20260813
S235,OpenPBL full,69.32,79.59,73.99,92.97,3.58,2.69,100.0,4.82,True,20260813
S236,OpenPBL full,81.53,85.89,85.44,90.75,4.28,2.65,94.41,10.96,True,20260813
S237,OpenPBL full,76.03,81.68,91.52,94.23,3.52,2.39,100.0,8.52,True,20260813
S238,OpenPBL full,68.1,82.67,77.47,76.3,3.54,1.8,89.49,12.66,True,20260813
S239,OpenPBL full,61.5,76.41,70.67,93.32,3.96,1.99,93.45,8.89,True,20260813
S240,OpenPBL full,63.6,82.33,69.65,67.9,4.18,2.15,83.49,8.15,True,20260813
